data,hora,natureza_acidente,situacao,bairro,endereco,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,,,,,,,
2017-01-03,18:10:00,SEM VÍTIMA,FINALIZADA,SAN MARTIN,RUA JOSE VELOSO,225,,E/F DA PRAÇA DA CAVALARIA,RUA JOSE VELOSO,225,E/F DA PRAÇA DA CAVALARIA,SAN MARTIN,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,18:28:00,SEM VÍTIMA,CANCELADA,COELHOS,RUA DOS COELHOS,,,PROX AO VIADUTO JOAQUIM CARDOSO,RUA DOS COELHOS,0,PROX AO VIADUTO JOAQUIM CARDOSO,COELHOS,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,18:56:00,SEM VÍTIMA,FINALIZADA,CORDEIRO,RUA MAURICIO DE NASSAU,,,ESCOLA MUNICIPAL DARCI RIBEIRO,RUA MAURICIO DE NASSAU,0,ESCOLA MUNICIPAL DARCI RIBEIRO,CORDEIRO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,19:19:00,SEM VÍTIMA,FINALIZADA,BAIRRO DO RECIFE,AV ALFREDO LISBOA,173,,E/F AO POSTO DA POLICIA MILITAR,AV ALFREDO LISBOA,173,E/F AO POSTO DA POLICIA MILITAR,BAIRRO DO RECIFE,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,19:16:00,SEM VÍTIMA,CANCELADA,BOA VIAGEM,RUA RIBEIRO DE BRITO,1034,,POSTO BR E POR TRAS DO SHOPPING RECIFE ANTES DO HOTEL NACIONAL,RUA RIBEIRO DE BRITO,1034,POSTO BR E POR TRAS DO SHOPPING RECIFE ANTES DO HOTEL NACIONAL,BOA VIAGEM,COLISÃO,1,,,,,1,,,,0,,,,,,,,
2017-01-03,19:43:00,SEM VÍTIMA,FINALIZADA,SANTO AMARO,RUA GERVASIO PIRES,901,,DENTRO DO ESTACIONAMENTO DO MINISTERIO PUBLICO,RUA GERVASIO PIRES,901,DENTRO DO ESTACIONAMENTO DO MINISTERIO PUBLICO,SANTO AMARO,COLISÃO,2,,,,,,,,,0,,,,,,,,
2017-01-03,20:20:00,SEM VÍTIMA,FINALIZADA,CASA AMARELA,RUA ALTO SANTA ISABEL,759,,PROX A ESCOLA DAUMIRO CHAVES,RUA ALTO SANTA ISABEL,759,PROX A ESCOLA DAUMIRO CHAVES,CASA AMARELA,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-01-03,20:32:00,SEM VÍTIMA,FINALIZADA,ENCRUZILHADA,AV NORTE,,,E/F AO BANCO SANTANDER,AV NORTE,0,E/F AO BANCO SANTANDER,ENCRUZILHADA,CHOQUE,,,,,,,1,,,0,,,,,,,,
2017-01-03,20:47:00,SEM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,,,E/F AO ARENA BAR,AV BEBERIBE,0,E/F AO ARENA BAR,BEBERIBE,COLISÃO,1,1,,,,,,,,0,,,,,,,,
2017-01-03,20:50:00,SEM VÍTIMA,CANCELADA,JORDÃO,RUA AFONSO CUNHA,,,PROX AO TERMINAL DO JORDAO BAIXO A TERCEIRA RUA A ESQUERDA,RUA AFONSO CUNHA,0,PROX AO TERMINAL DO JORDAO BAIXO A TERCEIRA RUA A ESQUERDA,JORDÃO,COLISÃO,1,1,,,,,,,,0,,,,,,,,
